product_id,product_name,category,price,cost,margin_percent,launch_date
PROD_0183,Sport Jacket,Clothing,42.47,35.39,16.7,2021-11-21
PROD_0132,Sport Shirt,Clothing,109.38,88.05,19.5,2023-11-06
PROD_0411,Versatile zero tolerance budgetary management DVD,Books & Media,72.7,55.58,23.5,2022-09-03
PROD_0194,Sport Shoes,Clothing,313.77,266.03,15.2,2022-05-03
PROD_0056,Graham and Sons Laptop,Electronics,535.09,377.08,29.5,2023-04-11
PROD_0149,Classic Shoes,Clothing,50.18,35.59,29.1,2024-10-29
PROD_0019,Johnson PLC Laptop,Electronics,1708.69,1275.46,25.4,2021-10-02
PROD_0205,Compact Chair,Home & Garden,146.48,114.79,21.6,2022-05-07
PROD_0079,Faulkner-Jimenez Camera,Electronics,1542.8,1117.48,27.6,2022-05-22
PROD_0495,Multi-lateral global ability Game,Books & Media,47.82,39.55,17.3,2021-04-16
PROD_0263,Standard Tool,Home & Garden,173.28,130.76,24.5,2021-04-13
PROD_0324,Kids Equipment,Sports & Outdoors,607.47,435.41,28.3,2024-01-02
PROD_0484,Operative context-sensitive parallelism DVD,Books & Media,26.85,20.93,22.0,2023-09-12
PROD_0080,Henderson-Perry Tablet,Electronics,813.76,587.83,27.8,2023-05-26
PROD_0040,Gonzales-Bradley Tablet,Electronics,633.56,505.69,20.2,2022-04-13
PROD_0452,Public-key executive intranet DVD,Books & Media,59.97,49.37,17.7,2023-03-07
PROD_0047,Burgess-Shepard Laptop,Electronics,1105.42,792.51,28.3,2021-09-04
PROD_0239,Deluxe Lamp,Home & Garden,184.74,155.87,15.6,2024-05-26
PROD_0392,Amateur Racket,Sports & Outdoors,608.43,436.81,28.2,2024-07-01
PROD_0353,Kids Gear,Sports & Outdoors,316.47,262.92,16.9,2024-02-05
PROD_0342,Pro Gear,Sports & Outdoors,165.01,119.71,27.5,2021-05-25
PROD_0278,Deluxe Table,Home & Garden,365.42,284.43,22.2,2023-12-18
PROD_0291,Standard Tool,Home & Garden,400.74,295.31,26.3,2023-10-12
PROD_0318,Amateur Gear,Sports & Outdoors,580.17,449.07,22.6,2023-10-03
PROD_0305,Amateur Gear,Sports & Outdoors,545.07,459.29,15.7,2024-09-06
PROD_0269,Compact Lamp,Home & Garden,292.17,227.44,22.2,2021-09-03
PROD_0070,Flores LLC Phone,Electronics,1337.01,1069.37,20.0,2023-11-01
PROD_0456,Front-line interactive knowledge user DVD,Books & Media,77.12,65.36,15.2,2021-11-23
PROD_0466,Total upward-trending model Game,Books & Media,13.39,10.56,21.1,2022-05-15
PROD_0155,Sport Jeans,Clothing,74.08,56.03,24.4,2021-03-04
PROD_0083,"West, Cline and Larsen Tablet",Electronics,642.22,460.57,28.3,2021-05-30
PROD_0478,Grass-roots directional toolset Magazine,Books & Media,113.52,87.4,23.0,2022-10-31
PROD_0173,Sport Jacket,Clothing,91.23,77.44,15.1,2024-02-23
PROD_0322,Kids Ball,Sports & Outdoors,615.79,463.11,24.8,2024-09-20
PROD_0091,Taylor-Wood Phone,Electronics,1293.47,1012.38,21.7,2022-12-10
PROD_0181,Classic Jeans,Clothing,199.36,166.01,16.7,2022-03-06
PROD_0415,Balanced bifurcated flexibility DVD,Books & Media,51.46,40.33,21.6,2021-12-17
PROD_0313,Kids Ball,Sports & Outdoors,816.66,604.18,26.0,2024-09-03
PROD_0279,Standard Lamp,Home & Garden,406.86,326.15,19.8,2020-09-28
PROD_0382,Kids Racket,Sports & Outdoors,451.23,364.22,19.3,2023-09-23
PROD_0473,Object-based holistic intranet Book,Books & Media,81.06,61.37,24.3,2021-07-08
PROD_0363,Kids Racket,Sports & Outdoors,637.83,493.1,22.7,2023-06-26
PROD_0325,Amateur Ball,Sports & Outdoors,186.61,134.33,28.0,2024-05-27
PROD_0432,Re-engineered logistical process improvement Magazine,Books & Media,70.18,59.55,15.1,2023-06-21
PROD_0348,Amateur Equipment,Sports & Outdoors,26.04,21.43,17.7,2023-03-10
PROD_0087,Pineda-Simmons Tablet,Electronics,1198.92,898.91,25.0,2023-07-14
PROD_0076,Warren PLC Phone,Electronics,1188.29,944.82,20.5,2023-06-15
PROD_0439,Progressive local encryption Book,Books & Media,5.16,3.86,25.2,2021-03-11
PROD_0016,Drake and Sons Phone,Electronics,1118.57,809.58,27.6,2024-04-21
